tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2021-12-09,2022-01-08,2022-01-08,1,HongKong/WHP5202/2022|2022-01-08,Benin/NMIMR-726208/2022|2022-01-22,2022.057534,0,29.77028598
2021-12-18,2022-01-08,2022-01-08,1,HongKong/WHP5205/2022|2022-01-08,Guinea/LFHVG-G0595/2021|2021-12-22,2021.972603,0,21.09950994
2021-12-04,2022-01-07,2022-01-07,1,HongKong/WHP5210/2022|2022-01-07,Ethiopia/ILRI_COVM02915/2021|2021-12-27,2021.986301,0,33.51396558
2021-12-05,2022-01-06,2022-01-06,1,HongKong/WHP5212/2022|2022-01-06,Greece/318975/2021|2021-12-22,2021.972603,0,31.81999383
2021-12-17,2022-01-06,2022-01-06,1,HongKong/WHP5214/2022|2022-01-06,Brazil/SP-IB_147516/2022|2022-01-03,2022.005479,0,19.27211829
2021-12-29,2022-01-06,2022-01-06,1,HongKong/WHP5217/2022|2022-01-06,Sweden/461847972308/2022|2022-02-09,2022.106849,0,7.609204618
2021-12-26,2022-01-04,2022-01-04,1,HongKong/WHP5220/2022|2022-01-04,Canada/SK-NML-284594/2021|2021-12-28,2021.989041,0,8.476479328
2021-12-30,2022-01-04,2022-01-04,1,HongKong/WHP5221/2022|2022-01-04,HongKong/HK-HKPU-12750/2022|2022-01-04,2022.008219,0,4.345891477
2021-12-31,2022-01-16,2022-01-16,1,HongKong/WHP5432-S6-iseq/2022|2022-01-16,Mauritius/N32081/2022|2022-01-12,2022.030137,0,15.79781597
2021-12-26,2022-01-16,2022-01-16,1,HongKong/WHP5435/2022|2022-01-16,Italy/UMB-IZSGC-482_1_31/2022|2022-01-03,2022.005479,0,20.39911462
2022-01-04,2022-01-12,2022-01-12,1,HongKong/WHP5438/2022|2022-01-12,Greece/45645/2021|2021-12-23,2021.975342,0,7.479409535
