date	k	generation_time	prevalence	prevalence_Upper	prevalence_Lower
2022-03-12	0.1	3	101445.5712273356	250346.10178363137	39119.18208028316
2022-03-13	0.1	3	100796.7931216894	249776.5184691644	39165.9197419909
2022-03-14	0.1	3	99426.32660384533	247425.96158916573	38934.36176141051
2022-03-15	0.1	3	97021.08756488912	242489.15138202213	38294.37742255563
2022-03-16	0.1	3	98459.18926117396	247177.89160112166	39177.04144928298
2022-03-17	0.1	3	99011.30525207634	254780.84015750155	40278.27467993102
2022-03-18	0.1	3	98469.67438303676	259638.1540364035	40944.32918637979
2022-03-19	0.1	3	95321.98700331354	257456.89855195233	40503.07444916778
2022-03-20	0.1	3	98337.09659692486	271982.7347128827	42689.216000383974
2022-03-21	0.1	3	97629.73088929552	276433.7098274557	43290.704376844136
2022-03-22	0.1	3	103452.3405482565	299786.26798368216	46846.15758173902
2022-03-23	0.1	3	102896.67450516511	305082.75337552134	47573.89763339316
2022-03-24	0.1	3	99477.16756908732	288715.2578193174	45877.3419987352
2022-03-25	0.1	3	96057.66063300954	272347.7622631135	44180.786364077256
2022-03-26	0.1	3	92718.34454249765	256201.8522331341	42521.00657446209
2022-03-27	0.1	3	87210.2054906695	234218.73979162992	39869.48531101832
2022-03-28	0.1	3	91172.7517254594	237227.157838961	41539.401636018425
2022-03-29	0.1	3	82379.6328886984	206877.78003829776	37394.563825445446
2022-03-30	0.1	3	80270.2432457702	193671.25738090355	36290.31446306737
2022-03-31	0.1	3	75139.62522110452	182249.38728901252	33954.31637517149
2022-04-01	0.1	3	68842.9789904967	168014.19385767455	31091.15493812659
2022-04-02	0.1	3	62603.44113254173	153919.40943314816	28253.767270717235
2022-04-03	0.1	3	60192.82026382968	149325.90404762627	27142.920639353546
2022-04-04	0.1	3	50126.71032432511	125744.26973197138	22579.901415180833
2022-04-05	0.1	3	44832.06761119237	114064.64476692223	20167.377324247725
2022-04-06	0.1	3	38133.42944117573	98843.64587193815	17122.747794488594
2022-04-07	0.1	3	33726.924489164354	87575.27428024229	15121.928588980263
2022-04-08	0.1	3	29320.41953715296	76306.90268854643	13121.109383471932
2022-04-09	0.1	3	24913.914585141578	65038.531096850566	11120.290177963601
2022-04-10	0.1	3	20507.409633130195	53770.1595051547	9119.47097245527
2022-04-11	0.1	3	16886.5240505594	44575.59857701896	7465.995647503805
2022-04-12	0.1	3	11496.966994159424	30706.11274492124	5031.429864163279
2022-04-13	0.1	3	7365.3270509090335	20177.168924709116	3150.1309350168567
2022-01-06	0.15	2	54.158538192386466	404.63023653129807	10.72199103745813
2022-01-07	0.15	2	57.0363186361154	386.76394499590447	11.445242700004245
2022-01-08	0.15	2	60.01910166369695	370.712467968758	12.185264056189666
2022-01-09	0.15	2	63.214107050112474	356.7080327373436	12.965500233854295
2022-01-10	0.15	2	66.90965987175711	345.7976526034137	13.847349796491292
2022-01-11	0.15	2	70.5949614160615	334.8406608936446	14.727052960985239
2022-01-12	0.15	2	74.29031879941073	323.9370744629961	15.608831642880881
2022-01-13	0.15	2	78.00295392569826	313.10407221964255	16.494259020062792
2022-01-14	0.15	2	93.35894357394112	326.818143131087	26.137354199969582
2022-01-15	0.15	2	108.68419156315352	340.43592069163	35.77033163117164
2022-01-16	0.15	2	124.07092287042687	354.2462849539758	45.42354455978315
2022-01-17	0.15	2	139.42720119699445	367.9611177138838	55.0667537531542
2022-01-18	0.15	2	154.75755015068728	381.6119120150597	64.69913605998983
2022-01-19	0.15	2	170.17191024035176	395.4652297358446	74.3672595655273
2022-01-20	0.15	2	186.37952907178934	411.05362841360505	84.3965120439981
2022-01-21	0.15	2	393.01138569449836	726.1688943757482	224.759320174973
2022-01-22	0.15	2	582.5514312667963	1002.3234680825428	357.80371432454933
2022-01-23	0.15	2	771.9538485206008	1277.9101882576792	490.87375769038107
2022-01-24	0.15	2	956.6175749293963	1545.7108909484352	620.9110626406483
2022-01-25	0.15	2	1144.101553805805	1818.1801853479806	752.7417630855742
2022-01-26	0.15	2	1326.9985786954444	2083.447686018051	881.5253721662253
2022-01-27	0.15	2	1519.0665022894855	2363.1139117441626	1016.4012107513305
2022-01-28	0.15	2	1648.5922172335368	2582.962573172386	1085.191966399426
2022-01-29	0.15	2	1778.117932177588	2802.8112346006096	1153.9827220475217
2022-01-30	0.15	2	1911.0481733137854	3028.0543651696007	1224.9557324045388
2022-01-31	0.15	2	2036.268458115388	3241.074612482869	1290.9930607443418
2022-02-01	0.15	2	2149.0902309166813	3434.224849635706	1349.3018230584732
2022-02-02	0.15	2	2191.8196893127506	3514.7888987222154	1364.1675020867535
2022-02-03	0.15	2	2314.2977553848277	3722.778139291515	1429.1151488697215
2022-02-04	0.15	2	2238.237907860346	3518.346558731678	1423.0767678893076
2022-02-05	0.15	2	2190.550207815627	3359.5905069652426	1434.54062797025
2022-02-06	0.15	2	2143.344369208961	3201.592722072934	1446.3104498180483
2022-02-07	0.15	2	2101.106525462409	3050.8093430131707	1461.5355885012093
2022-02-08	0.15	2	2048.9540206375295	2885.629863477773	1469.8640611475473
2022-02-09	0.15	2	2001.7588463518143	2727.6484341801925	1481.6408668122967
2022-02-10	0.15	2	1958.0217930588863	2574.213400347265	1496.0599087357061
2022-02-11	0.15	2	2543.2895306581286	3604.8197218777523	1825.4544362627228
2022-02-12	0.15	2	3132.2548933281914	4640.328832919319	2157.6554713178184
2022-02-13	0.15	2	3742.5289498518227	5708.361231998633	2504.10419146758
2022-02-14	0.15	2	4341.189604843134	6759.6799510705405	2842.331475845934
2022-02-15	0.15	2	4965.120006959606	7851.271422599541	3196.686490305453
2022-02-16	0.15	2	5559.804322586976	8897.23388703098	3531.9335683115596
2022-02-17	0.15	2	6254.861533504873	10105.294115734116	3930.2792892374277
2022-02-18	0.15	2	7378.543048150753	12420.495485132353	4373.484195014452
2022-02-19	0.15	2	8478.576059267241	14701.541657736501	4799.698738376692
2022-02-20	0.15	2	9548.726117321581	16932.286928454083	5208.199779927166
2022-02-21	0.15	2	10618.857823403616	19163.000377521013	5616.690432476269
2022-02-22	0.15	2	11688.989529485652	21393.71382658795	6025.181085025372
2022-02-23	0.15	2	12679.705446337912	23477.38325102664	6393.627042547949
2022-02-24	0.15	2	13835.775609775777	25867.335490629375	6845.389545973835
2022-02-25	0.15	2	27673.40121654797	68232.94425346733	10957.23609344361
2022-02-26	0.15	2	41883.68915345972	111878.09707472191	15156.843791533103
2022-02-27	0.15	2	55612.099672153956	154337.28124209252	19165.292747267653
2022-02-28	0.15	2	69335.27151269402	196782.48001072078	23171.844614347694
2022-03-01	0.15	2	83062.09657000602	239238.20490817723	27179.59122232756
2022-03-02	0.15	2	99749.02364619018	290309.2234749579	32141.10420821018
2022-03-03	0.15	2	104197.26546622178	295524.34870970156	34476.070184343625
2022-03-04	0.15	2	106103.71237602958	293319.60879325256	35994.61275582935
2022-03-05	0.15	2	107942.27034127917	290910.7567048191	37492.041566281645
2022-03-06	0.15	2	109623.43673875058	288077.2888961375	38934.85377683576
2022-03-07	0.15	2	111380.16462797995	285447.46265150304	40403.911204776174
2022-03-08	0.15	2	113155.73742036747	282864.7435257572	41879.9434202895
2022-03-09	0.15	2	118167.74135751005	288172.31280434737	44577.14318476887
2022-03-10	0.15	2	117244.88040217206	287029.9215737236	44548.003545127984
2022-03-11	0.15	2	117030.04975388509	287639.40513587964	44793.21878277377
2022-03-12	0.15	2	113092.36309703319	279087.90793236945	43610.388214662846
2022-03-13	0.15	2	112643.35936691206	279132.55233597325	43769.0588737926
2022-03-14	0.15	2	111111.8230184941	276505.7363912794	43510.28606949015
2022-03-15	0.15	2	108028.127888408	269999.54045586823	42638.87372777598
2022-03-16	0.15	2	110709.4438611834	277931.6701598217	44051.43393443513
2022-03-17	0.15	2	111739.31629626757	287533.1944378224	45456.090724896036
2022-03-18	0.15	2	111128.56844143874	293016.26669960615	46207.979429058025
2022-03-19	0.15	2	106608.7358205845	287941.4849163604	45298.904267728845
2022-03-20	0.15	2	111333.09865973202	307927.34060118685	48330.92353904197
2022-03-21	0.15	2	110473.74854701858	312800.9047164772	48985.96304822105
2022-03-22	0.15	2	119409.36148419065	346026.8433942478	54071.949800052214
2022-03-23	0.15	2	118777.56086828413	352168.67292543757	54916.36682202227
2022-03-24	0.15	2	114830.2934255534	333275.0477520526	52957.9678637362
